code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
004560,현대비앤지스틸,2020-01-03,9290,9380,9110,9240,25583,45468.0,6437.0,18853.0,0.9946,1.0266,1.0067,1.0102,9086.0,1.0169,8960.0,1.0312
017800,현대엘리베이터,2020-01-03,67800,68400,67300,67600,132849,163457.0,137554.0,158026.0,0.9971,0.9883,1.0044,1.0088,68020.0,0.9938,68740.0,0.9834
057050,현대홈쇼핑,2020-01-03,80200,80800,79600,80600,21543,19211.0,12480.0,17746.0,1.005,0.9901,1.0037,1.0038,80420.0,1.0022,80575.0,1.0003
111110,호전실업,2020-01-03,14450,14650,14400,14500,4664,11066.0,2210.0,4839.0,1.0035,0.9966,1.0,1.014,14450.0,1.0035,14147.5,1.0249
008770,호텔신라,2020-01-03,95100,96200,93000,95300,689531,833223.0,726313.0,553933.0,1.0021,1.0206,1.0295,1.0271,90240.0,1.0561,85415.0,1.1157
298040,효성중공업,2020-01-03,26750,27300,26750,27200,35770,28487.0,28935.0,30313.0,1.0168,1.0075,1.0114,1.0038,26650.0,1.0206,25817.5,1.0535
051500,CJ프레시웨이,2020-01-03,28000,28200,27800,27800,17750,22643.0,22114.0,16287.0,0.9929,0.9841,1.0232,1.0272,28150.0,0.9876,26847.5,1.0355
083660,CSA 코스믹,2020-01-03,0,0,0,4170,0,0.0,0.0,0.0,inf,inf,inf,inf,4170.0,1.0,4170.0,1.0
130500,GH신소재,2020-01-03,3145,3165,3110,3125,170092,284197.0,1384017.0,517068.0,0.9936,1.0129,0.9167,1.0372,3128.0,0.999,3078.75,1.015
083450,GST,2020-01-03,10600,11000,10400,10750,97097,152760.0,194809.0,253948.0,1.0142,1.0441,0.9855,1.055,10350.0,1.0386,9511.5,1.1302
067290,JW신약,2020-01-03,4950,4970,4835,4860,263743,356354.0,252978.0,186887.0,0.9818,1.002,1.0243,1.0086,4800.0,1.0125,4756.0,1.0219
024120,KB오토시스,2020-01-03,6180,6200,6150,6200,6437,6018.0,3487.0,5416.0,1.0032,1.0098,1.0065,0.984,6188.0,1.0019,6143.0,1.0093
337450,SK5호스팩,2020-01-03,2005,2020,2005,2020,4619,1012.0,45520.0,512.0,1.0075,1.0,1.0025,1.0,2017.0,1.0015,2012.75,1.0036
089230,THE E&M,2020-01-03,880,912,876,904,794582,1725688.0,539042.0,454972.0,1.0273,0.9521,1.0,0.9786,908.0,0.9956,959.3,0.9424
032540,TJ미디어,2020-01-03,3320,3345,3265,3300,5765,3941.0,3966.0,1716.0,0.994,1.0,1.0061,1.0123,3301.0,0.9997,3301.75,0.9995
051390,YW,2020-01-03,3730,3745,3700,3740,7661,8762.0,7401.0,7235.0,1.0027,0.996,1.0121,0.996,3755.0,0.996,3737.75,1.0006
094480,갤럭시아컴즈,2020-01-03,3500,3645,3455,3620,261841,268954.0,53732.0,176970.0,1.0343,1.0414,0.9985,0.9768,3456.0,1.0475,3195.75,1.1328
198440,고려시멘트,2020-01-03,3120,3185,3100,3155,552080,289019.0,235504.0,287871.0,1.0112,1.0114,1.0115,1.0033,3088.0,1.0217,3049.75,1.0345
307280,교보8호스팩,2020-01-03,2055,2065,2055,2065,2,2.0,3279.0,3.0,1.0049,0.9976,0.9976,0.9952,2061.0,1.0019,2076.75,0.9943
089600,나스미디어,2020-01-03,32800,32850,31450,31650,49447,28167.0,13663.0,14202.0,0.9649,0.9848,0.9926,1.009,32920.0,0.9614,32585.0,0.9713
